fighter,victoria_%,binning,Height,Weight,SLpM,Str_Acc_%,SApM,Str_Def_%,TD_Avg,TD_Acc_%,TD_Def_%,Sub_Avg,Stance_Orthodox,Stance_Southpaw
Josh Shockman,0,0,193,235,0.87,32,0.87,58,0.0,0,23,0.0,0,1
Jeff Monson,67,1,175,247,0.97,30,2.87,59,1.06,12,66,0.7,1,0
Dave Menne,40,0,177,170,1.84,44,1.99,42,0.46,50,57,2.5,1,0
Jeff Joslin,0,0,182,170,2.17,39,1.57,65,0.5,33,64,0.5,1,0
Shonie Carter,60,1,177,170,1.62,36,2.32,47,0.75,66,75,0.0,0,1
Steve Byrnes,0,0,182,170,1.2,51,2.67,27,3.0,60,0,4.0,1,0
Logan Clark,0,0,187,185,2.2,54,1.49,53,0.31,100,30,2.1,1,0
Marcio Cruz,67,1,193,232,2.92,46,1.51,68,0.53,7,37,1.6,1,0
Ross Pointon,0,0,172,170,2.62,23,2.77,58,1.19,100,0,0.0,1,0
Chris Price,0,0,187,185,1.44,66,2.59,48,0.0,0,33,2.2,0,1
